crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arhar/Tur,2023,Kharif     ,Uttarakhand,3213.9757608362056,3137.7373504801885,1415.9816091579855,689735.1254793223,1346.5437745601926,0.9762790960389255
Barley,2023,Rabi       ,Uttarakhand,19274.683071748736,26043.034684824288,1192.1926098113483,3861450.686405404,7113.330646986436,1.3511524203993814
Garlic,2023,Whole Year ,Uttarakhand,5426.712246733767,37407.95086928468,1309.6683403017917,1043243.7231091007,2026.8798273394566,6.8932991410775095
Gram,2023,Rabi       ,Uttarakhand,687.5722807343234,530.9070080492935,1468.928370713985,149508.37378170004,304.0213257315641,0.7721471951753025
Groundnut,2023,Kharif     ,Uttarakhand,583.9243909900157,841.5074996210999,1280.2515203573016,124541.6064971051,233.08693825496954,1.441124078058059
Horse-gram,2023,Kharif     ,Uttarakhand,13801.67041273364,14526.254147957323,1404.789674412041,2513969.9816726604,5046.006043144228,1.0524997129735232
Maize,2023,Kharif     ,Uttarakhand,20388.43732658595,40920.647226543755,1430.910771247279,4080219.5520718615,7754.645364439424,2.0070516720368943
Maize,2023,Summer     ,Uttarakhand,185.76395462426214,408.6820935399887,1313.3330869733309,40975.75055982733,79.11106936979307,2.2000075007372386
Masoor,2023,Rabi       ,Uttarakhand,9501.73860165725,7192.644635899921,1447.9790247106378,1921060.3234703823,3434.1807265815387,0.7569819521919298
Moong(Green Gram),2023,Kharif     ,Uttarakhand,9.482401416324693,8.43325507859838,1340.6355297546997,1763.4704752564344,3.5522954588774662,0.8893585821076795
Moong(Green Gram),2023,Summer     ,Uttarakhand,8.660674703564624,6.6687290215597885,1346.3788959851342,1507.840861502243,3.0794742454754607,0.770001096890872
Moth,2023,Kharif     ,Uttarakhand,43.857357428473755,23.383770788472773,1357.3195340674035,8052.624793911218,16.639405645570562,0.5331778328552736
Onion,2023,Whole Year ,Uttarakhand,3616.72827097459,51192.292766521576,1347.1400909867832,707611.8589733278,1425.7246452882189,14.154309898633032
Other  Rabi pulses,2023,Rabi       ,Uttarakhand,29.982668169597485,21.851628930140375,1262.0491011254214,6614.263937630116,12.302304923793116,0.7288086839548854
Other Cereals,2023,Kharif     ,Uttarakhand,662.7806117510819,357.59877598735613,1285.2276584336926,127964.34512440674,231.81129092674726,0.5395432057714721
Other Cereals,2023,Rabi       ,Uttarakhand,409.4256769877964,318.24945130553095,1361.781730516132,83796.11202661452,159.5054420763325,0.7773070161279036
Other Kharif pulses,2023,Kharif     ,Uttarakhand,14311.028775710934,16982.06541956524,1310.7545303005677,3058122.843671159,5801.807456788462,1.186641833072662
Peas & beans (Pulses),2023,Rabi       ,Uttarakhand,5180.3640770040465,3438.364315144013,1305.8450952900794,941412.2745512419,2021.5418107299693,0.663730244445004
Potato,2023,Kharif     ,Uttarakhand,6309.915416887384,58491.21900331779,1458.5754783078487,1271802.47542549,2491.44907359218,9.269731072270206
Potato,2023,Rabi       ,Uttarakhand,5445.887965536141,59440.82692305345,1341.4891729872884,1159997.4733810448,2131.098684066272,10.914808989685408
Ragi,2023,Kharif     ,Uttarakhand,90410.83409034746,143296.0709988634,1403.5976428167442,16229693.665099807,32241.731997183895,1.5849435793908038
Rapeseed &Mustard,2023,Rabi       ,Uttarakhand,14009.46015417592,9829.408370927189,1317.9941022527312,2802273.0687941303,4935.903285527595,0.7016264911533548
Rice,2023,Kharif     ,Uttarakhand,231396.05820188564,470510.14368084824,1363.2181890361298,50751208.679101706,90204.54266334418,2.033354186484643
Rice,2023,Summer     ,Uttarakhand,15655.400517083064,49552.70298999729,1491.2226529192003,2949428.4078817256,5823.931500955844,3.1652146449990677
Sesamum,2023,Kharif     ,Uttarakhand,2075.4506553711203,436.53470250953706,1313.2725905589105,411921.71999978053,751.049008512389,0.21033248917762315
Small millets,2023,Kharif     ,Uttarakhand,46102.25255722333,61601.00982048034,1377.8651409262259,8618819.133695615,17406.834088432453,1.3361822124422131
Soyabean,2023,Kharif     ,Uttarakhand,7257.171064591916,8661.97789123535,1345.1186939652916,1541588.433611991,2671.5116783404183,1.1935749914312417
Sugarcane,2023,Whole Year ,Uttarakhand,89572.68773633496,7858553.258776005,1215.285526937722,17624955.786902804,37413.500831122095,87.7338110240517
Sunflower,2023,Kharif     ,Uttarakhand,2.8681960459891345,2.1837995307486904,1613.9290817201604,632.0579442475891,1.18232978843142,0.7613843320795664
Sunflower,2023,Summer     ,Uttarakhand,2.9729581273626127,2.038085106648506,1395.4790629549457,614.5788883979749,1.2543750693505327,0.6855411409566483
Tobacco,2023,Whole Year ,Uttarakhand,2.8214012825970114,5.4778694024481265,1368.378756497597,637.4812771270042,1.1659590911503561,1.9415421110909539
Turmeric,2023,Whole Year ,Uttarakhand,1313.3899641969217,3352.5126083806213,1387.4690249246025,285856.401262702,467.3121043920999,2.5525645084630524
Urad,2023,Kharif     ,Uttarakhand,11277.954247786627,12481.582733266325,1444.1986785249,2256607.9454534664,4802.111565987027,1.1067240085422334
Urad,2023,Summer     ,Uttarakhand,61.50396593932351,75.90674034603272,1521.6044141156922,11836.069309195353,22.759743177684044,1.2341763524797444
Wheat,2023,Rabi       ,Uttarakhand,285976.02932782855,573269.2303772733,1272.3667968710315,62520745.30555019,107101.46014060696,2.004605881565361
other oilseeds,2023,Kharif     ,Uttarakhand,13.750862256144584,10.043054260664439,1474.3933386746667,2606.4846799900793,4.978011579274647,0.7303581458083978
other oilseeds,2023,Rabi       ,Uttarakhand,30.174914971734733,21.41171242734025,1347.4403544395216,5637.749114880884,11.633145711397452,0.709586504134209
