crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,1998,Kharif     ,Puducherry,66.0,23.0,1434.5875,6520.8,19.14,0.35
Bajra,1998,Kharif     ,Puducherry,149.0,324.0,1434.5875,14721.2,43.21,2.17
Black pepper,1998,Kharif     ,Puducherry,12.0,7.0,1434.5875,1185.6,3.48,0.58
Coriander,1998,Kharif     ,Puducherry,2.0,1.0,1434.5875,197.6,0.58,0.5
Cotton(lint),1998,Summer     ,Puducherry,453.0,372.0,1434.5875,44756.4,131.37,0.84
Dry chillies,1998,Kharif     ,Puducherry,8.0,23.0,1434.5875,790.4,2.32,2.75
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062.0,1434.5875,103344.8,303.34,1.54
Onion,1998,Kharif     ,Puducherry,26.0,429.0,1434.5875,2568.8,7.54,16.5
Ragi,1998,Kharif     ,Puducherry,112.0,366.0,1434.5875,11065.6,32.48,3.27
Rice,1998,Kharif     ,Puducherry,4945.0,11518.0,1434.5875,488566.0,1434.05,2.46
Rice,1998,Rabi       ,Puducherry,13961.0,30220.0,1434.5875,1379346.8,4048.69,2.555
Rice,1998,Summer     ,Puducherry,5716.0,14863.0,1434.5875,564740.8,1657.64,2.55
Sesamum,1998,Kharif     ,Puducherry,147.0,120.0,1434.5875,14523.6,42.63,0.806666667
Small millets,1998,Kharif     ,Puducherry,4.0,3.0,1434.5875,395.2,1.16,0.75
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369.0,1434.5875,267748.0,785.9,82.595
Tapioca,1998,Kharif     ,Puducherry,649.0,19110.0,1434.5875,64121.2,188.21,20.0
Arecanut,1998,Whole Year ,Assam,74457.0,55355.0,2354.4,7356351.6,21592.53,0.784347826
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389.0,2354.4,756511.6,2220.53,0.709130435
Banana,1998,Whole Year ,Assam,41885.0,581884.0,2354.4,4138238.0,12146.65,13.78826087
Castor seed,1998,Kharif     ,Assam,1728.0,708.0,2354.4,170726.4,501.12,0.411428571
Coconut ,1998,Whole Year ,Assam,20166.0,149866000.0,2354.4,1992400.8,5848.14,6045.886957
Cotton(lint),1998,Kharif     ,Assam,1652.0,751.0,2354.4,163217.6,479.08,0.399130435
Dry chillies,1998,Whole Year ,Assam,14724.0,9690.0,2354.4,1454731.2,4269.96,0.636956522
Gram,1998,Rabi       ,Assam,3002.0,1503.0,2354.4,296597.6,870.58,0.460454545
Jute,1998,Kharif     ,Assam,78702.0,687173.0,2354.4,7775757.6,22823.58,9.040869565
Linseed,1998,Rabi       ,Assam,10222.0,5212.0,2354.4,1009933.6,2964.38,0.480909091
Maize,1998,Kharif     ,Assam,19810.0,13965.0,2354.4,1957228.0,5744.9,0.608695652
Mesta,1998,Kharif     ,Assam,5260.0,25623.0,2354.4,519688.0,1525.4,4.9105
Niger seed,1998,Kharif     ,Assam,8753.0,4478.0,2354.4,864796.4,2538.37,0.520555556
