crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,2009,Kharif     ,Puducherry,61.0,77.0,1434.5875,9505.02,10.37,1.26
Bajra,2009,Kharif     ,Puducherry,29.0,49.0,1434.5875,4518.78,4.93,1.69
Bajra,2009,Summer     ,Puducherry,31.0,62.0,1434.5875,4830.42,5.27,2.0
Banana,2009,Kharif     ,Puducherry,285.0,10371.0,1434.5875,44408.7,48.45,26.09666667
Black pepper,2009,Kharif     ,Puducherry,12.0,8.0,1434.5875,1869.84,2.04,0.67
Cashewnut,2009,Kharif     ,Puducherry,171.0,146.0,1434.5875,26645.22,29.07,0.903333333
Coconut ,2009,Whole Year ,Puducherry,2138.0,31097000.0,1434.5875,333143.16,363.46,11782.4725
Coriander,2009,Rabi       ,Puducherry,6.0,3.0,1434.5875,934.92,1.02,0.5
Cotton(lint),2009,Summer     ,Puducherry,10.0,8.0,1434.5875,1558.2,1.7,0.89
Dry chillies,2009,Kharif     ,Puducherry,1.0,1.0,1434.5875,155.82,0.17,1.0
Dry chillies,2009,Rabi       ,Puducherry,1.0,1.0,1434.5875,155.82,0.17,1.0
Dry chillies,2009,Summer     ,Puducherry,4.0,4.0,1434.5875,623.28,0.68,1.0
Groundnut,2009,Kharif     ,Puducherry,25.0,47.0,1434.5875,3895.5,4.25,1.88
Groundnut,2009,Rabi       ,Puducherry,374.0,796.0,1434.5875,58276.68,63.58,1.575
Groundnut,2009,Summer     ,Puducherry,39.0,78.0,1434.5875,6076.98,6.63,1.525
Jowar,2009,Kharif     ,Puducherry,6.0,9.0,1434.5875,934.92,1.02,1.5
Moong(Green Gram),2009,Rabi       ,Puducherry,4.0,2.0,1434.5875,623.28,0.68,0.5
Moong(Green Gram),2009,Summer     ,Puducherry,1060.0,92.0,1434.5875,165169.2,180.2,0.346666667
Other  Rabi pulses,2009,Rabi       ,Puducherry,2.0,2.0,1434.5875,311.64,0.34,1.0
Other  Rabi pulses,2009,Summer     ,Puducherry,1.0,1.0,1434.5875,155.82,0.17,1.0
Other Kharif pulses,2009,Kharif     ,Puducherry,3.0,2.0,1434.5875,467.46,0.51,0.67
Ragi,2009,Kharif     ,Puducherry,12.0,29.0,1434.5875,1869.84,2.04,1.775
Ragi,2009,Rabi       ,Puducherry,5.0,11.0,1434.5875,779.1,0.85,2.2
Ragi,2009,Summer     ,Puducherry,17.0,51.0,1434.5875,2648.94,2.89,3.0
Rice,2009,Kharif     ,Puducherry,4650.0,13501.0,1434.5875,724563.0,790.5,2.893333333
Rice,2009,Rabi       ,Puducherry,11178.0,25378.0,1434.5875,1741755.96,1900.26,2.903333333
Rice,2009,Summer     ,Puducherry,5098.0,13451.0,1434.5875,794370.36,866.66,1.965
Sesamum,2009,Kharif     ,Puducherry,5.0,3.0,1434.5875,779.1,0.85,0.6
Sesamum,2009,Rabi       ,Puducherry,18.0,13.0,1434.5875,2804.76,3.06,0.72
Sesamum,2009,Summer     ,Puducherry,224.0,211.0,1434.5875,34903.68,38.08,0.62
Small millets,2009,Kharif     ,Puducherry,1.0,1.0,1434.5875,155.82,0.17,1.0
Sugarcane,2009,Kharif     ,Puducherry,1785.0,247254.0,1434.5875,278138.7,303.45,97.28
Sunflower,2009,Kharif     ,Puducherry,1.0,1.0,1434.5875,155.82,0.17,1.0
Sweet potato,2009,Kharif     ,Puducherry,1.0,0.0,1434.5875,155.82,0.17,0.0
Tapioca,2009,Kharif     ,Puducherry,242.0,6769.0,1434.5875,37708.44,41.14,18.97
Tapioca,2009,Rabi       ,Puducherry,3.0,44.0,1434.5875,467.46,0.51,17.5
Turmeric,2009,Kharif     ,Puducherry,3.0,0.0,1434.5875,467.46,0.51,0.0
Turmeric,2009,Rabi       ,Puducherry,3.0,5.0,1434.5875,467.46,0.51,1.67
Urad,2009,Kharif     ,Puducherry,31.0,10.0,1434.5875,4830.42,5.27,0.32
Urad,2009,Rabi       ,Puducherry,93.0,58.0,1434.5875,14491.26,15.81,0.52
Urad,2009,Summer     ,Puducherry,874.0,101.0,1434.5875,136186.68,148.58,0.626666667
Arecanut,2009,Whole Year ,Andhra Pradesh,386.0,198.0,711.0,60146.52,65.62,0.855
Arhar/Tur,2009,Kharif     ,Andhra Pradesh,438392.0,189677.0,711.0,68310241.44,74526.64,0.525909091
Arhar/Tur,2009,Rabi       ,Andhra Pradesh,24895.0,13266.0,711.0,3879138.9,4232.15,0.52
Bajra,2009,Kharif     ,Andhra Pradesh,33411.0,43471.0,711.0,5206102.02,5679.87,1.3
Bajra,2009,Rabi       ,Andhra Pradesh,11938.0,9884.0,711.0,1860179.16,2029.46,1.296363636
Banana,2009,Whole Year ,Andhra Pradesh,58229.0,1775347.0,711.0,9073242.78,9898.93,30.9435
Cashewnut,2009,Whole Year ,Andhra Pradesh,139274.0,42703.0,711.0,21701674.68,23676.58,0.315
Castor seed,2009,Kharif     ,Andhra Pradesh,147582.0,63733.0,711.0,22996227.24,25088.94,0.532352941
Coconut ,2009,Whole Year ,Andhra Pradesh,104541.0,1149330226.0,711.0,16289578.62,17771.97,10004.87412
Coriander,2009,Whole Year ,Andhra Pradesh,37468.0,20605.0,711.0,5838263.76,6369.56,0.695625
Cotton(lint),2009,Kharif     ,Andhra Pradesh,1467025.0,3232025.0,711.0,228591835.5,249394.25,2.209090909
Dry chillies,2009,Kharif     ,Andhra Pradesh,156475.0,639974.0,711.0,24381934.5,26600.75,3.287142857
Dry chillies,2009,Rabi       ,Andhra Pradesh,50066.0,191016.0,711.0,7801284.12,8511.22,3.595
Garlic,2009,Whole Year ,Andhra Pradesh,530.0,1565.0,711.0,82584.6,90.1,2.556666667
Ginger,2009,Whole Year ,Andhra Pradesh,2317.0,16674.0,711.0,361034.94,393.89,5.49625
Gram,2009,Rabi       ,Andhra Pradesh,646894.0,846659.0,711.0,100799023.1,109971.98,1.386818182
Groundnut,2009,Kharif     ,Andhra Pradesh,1010974.0,389551.0,711.0,157529968.7,171865.58,0.965454545
Groundnut,2009,Rabi       ,Andhra Pradesh,290208.0,617067.0,711.0,45220210.56,49335.36,2.155
Horse-gram,2009,Kharif     ,Andhra Pradesh,20162.0,13170.0,711.0,3141642.84,3427.54,0.6
Horse-gram,2009,Rabi       ,Andhra Pradesh,39303.0,23512.0,711.0,6124193.46,6681.51,0.508571429
Jowar,2009,Kharif     ,Andhra Pradesh,184976.0,184211.0,711.0,28822960.32,31445.92,1.144
Jowar,2009,Rabi       ,Andhra Pradesh,199858.0,252991.0,711.0,31141873.56,33975.86,2.016
Linseed,2009,Rabi       ,Andhra Pradesh,673.0,100.0,711.0,104866.86,114.41,0.155
Maize,2009,Kharif     ,Andhra Pradesh,501624.0,996315.0,711.0,78163051.68,85276.08,3.095
Maize,2009,Rabi       ,Andhra Pradesh,281008.0,1764883.0,711.0,43786666.56,47771.36,6.097272727
Mesta,2009,Kharif     ,Andhra Pradesh,23045.0,191397.0,711.0,3590871.9,3917.65,8.421666667
Moong(Green Gram),2009,Kharif     ,Andhra Pradesh,205281.0,21104.0,711.0,31986885.42,34897.77,0.167727273
Moong(Green Gram),2009,Rabi       ,Andhra Pradesh,101342.0,41502.0,711.0,15791110.44,17228.14,0.475
Niger seed,2009,Kharif     ,Andhra Pradesh,7663.0,2632.0,711.0,1194048.66,1302.71,0.376666667
Onion,2009,Kharif     ,Andhra Pradesh,22954.0,374804.0,711.0,3576692.28,3902.18,15.85611111
Onion,2009,Rabi       ,Andhra Pradesh,13608.0,333288.0,711.0,2120398.56,2313.36,25.09052632
