crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,2002,Whole Year ,Andhra Pradesh,296.0,427.0,648.1,28022.32,74.0,1.4525
Arhar/Tur,2002,Kharif     ,Andhra Pradesh,423436.0,147361.0,648.1,40086686.12,105859.0,0.337727273
Arhar/Tur,2002,Rabi       ,Andhra Pradesh,8200.0,3004.0,648.1,776294.0,2050.0,0.299333333
Bajra,2002,Kharif     ,Andhra Pradesh,79711.0,53526.0,648.1,7546240.37,19927.75,0.706470588
Bajra,2002,Rabi       ,Andhra Pradesh,7268.0,3953.0,648.1,688061.56,1817.0,0.594285714
Banana,2002,Whole Year ,Andhra Pradesh,39354.0,1027659.0,648.1,3725643.18,9838.5,26.83952381
Cashewnut,2002,Whole Year ,Andhra Pradesh,150644.0,19643.0,648.1,14261467.48,37661.0,0.168125
Castor seed,2002,Kharif     ,Andhra Pradesh,231902.0,86818.0,648.1,21954162.34,57975.5,0.296315789
Coconut ,2002,Whole Year ,Andhra Pradesh,105291.0,1158625735.0,648.1,9967898.97,26322.75,9202.625556
Coriander,2002,Whole Year ,Andhra Pradesh,45073.0,13721.0,648.1,4267060.91,11268.25,0.414705882
Cotton(lint),2002,Kharif     ,Andhra Pradesh,803274.0,1085739.0,648.1,76045949.58,200818.5,1.455238095
Dry chillies,2002,Kharif     ,Andhra Pradesh,176001.0,309369.0,648.1,16662014.67,44000.25,1.668636364
Dry chillies,2002,Rabi       ,Andhra Pradesh,47247.0,99444.0,648.1,4472873.49,11811.75,2.070909091
Ginger,2002,Whole Year ,Andhra Pradesh,2026.0,3313.0,648.1,191801.42,506.5,1.635
Gram,2002,Kharif     ,Andhra Pradesh,37.0,45.0,648.1,3502.79,9.25,1.0075
Gram,2002,Rabi       ,Andhra Pradesh,390113.0,381761.0,648.1,36931997.71,97528.25,1.162380952
Groundnut,2002,Kharif     ,Andhra Pradesh,1270662.0,542342.0,648.1,120293571.5,317665.5,0.767727273
Groundnut,2002,Rabi       ,Andhra Pradesh,198962.0,278312.0,648.1,18835732.54,49740.5,1.495454545
Horse-gram,2002,Kharif     ,Andhra Pradesh,14961.0,6547.0,648.1,1416357.87,3740.25,0.420833333
Horse-gram,2002,Rabi       ,Andhra Pradesh,66480.0,22552.0,648.1,6293661.6,16620.0,0.294090909
Jowar,2002,Kharif     ,Andhra Pradesh,263673.0,257241.0,648.1,24961922.91,65918.25,0.661363636
Jowar,2002,Rabi       ,Andhra Pradesh,360173.0,350255.0,648.1,34097577.91,90043.25,0.841818182
Linseed,2002,Rabi       ,Andhra Pradesh,4070.0,1238.0,648.1,385306.9,1017.5,0.322857143
Maize,2002,Kharif     ,Andhra Pradesh,413659.0,912047.0,648.1,39161097.53,103414.75,1.491363636
Maize,2002,Rabi       ,Andhra Pradesh,111990.0,573695.0,648.1,10602093.3,27997.5,5.602272727
Mesta,2002,Kharif     ,Andhra Pradesh,81169.0,613607.0,648.1,7684269.23,20292.25,7.506363636
Moong(Green Gram),2002,Kharif     ,Andhra Pradesh,355292.0,87862.0,648.1,33635493.64,88823.0,0.217272727
Moong(Green Gram),2002,Rabi       ,Andhra Pradesh,118162.0,30110.0,648.1,11186396.54,29540.5,0.291
Niger seed,2002,Kharif     ,Andhra Pradesh,14919.0,5743.0,648.1,1412381.73,3729.75,0.38
Onion,2002,Kharif     ,Andhra Pradesh,15403.0,171950.0,648.1,1458202.01,3850.75,10.49411765
Onion,2002,Rabi       ,Andhra Pradesh,11725.0,240657.0,648.1,1110005.75,2931.25,19.15952381
Other  Rabi pulses,2002,Rabi       ,Andhra Pradesh,1873.0,518.0,648.1,177316.91,468.25,0.27375
Other Kharif pulses,2002,Kharif     ,Andhra Pradesh,6915.0,1532.0,648.1,654643.05,1728.75,0.223
Potato,2002,Whole Year ,Andhra Pradesh,2672.0,18677.0,648.1,252958.24,668.0,6.946666667
Ragi,2002,Kharif     ,Andhra Pradesh,61644.0,64480.0,648.1,5835837.48,15411.0,1.17375
Ragi,2002,Rabi       ,Andhra Pradesh,9610.0,12393.0,648.1,909778.7,2402.5,1.251428571
Rapeseed &Mustard,2002,Rabi       ,Andhra Pradesh,3369.0,742.0,648.1,318943.23,842.25,0.302857143
Rice,2002,Kharif     ,Andhra Pradesh,2109301.0,5054013.0,648.1,199687525.7,527325.25,2.202727273
Rice,2002,Rabi       ,Andhra Pradesh,712766.0,2272773.0,648.1,67477557.22,178191.5,2.533636364
Safflower,2002,Rabi       ,Andhra Pradesh,19350.0,6776.0,648.1,1831864.5,4837.5,0.318181818
Sesamum,2002,Kharif     ,Andhra Pradesh,87085.0,12499.0,648.1,8244336.95,21771.25,0.128571429
Sesamum,2002,Rabi       ,Andhra Pradesh,28050.0,5545.0,648.1,2655493.5,7012.5,0.209444444
Small millets,2002,Kharif     ,Andhra Pradesh,46256.0,21891.0,648.1,4379055.52,11564.0,0.461538462
Small millets,2002,Rabi       ,Andhra Pradesh,1986.0,720.0,648.1,188014.62,496.5,0.328333333
Soyabean,2002,Kharif     ,Andhra Pradesh,41284.0,0.0,648.1,3908356.28,10321.0,0.0
Sugarcane,2002,Whole Year ,Andhra Pradesh,232471.0,15387218.0,648.1,22008029.57,58117.75,69.35666667
Sunflower,2002,Kharif     ,Andhra Pradesh,416579.0,276207.0,648.1,39437533.93,104144.75,0.9025
Sweet potato,2002,Whole Year ,Andhra Pradesh,1286.0,13380.0,648.1,121745.62,321.5,11.29588235
Tapioca,2002,Whole Year ,Andhra Pradesh,13138.0,79474.0,648.1,1243774.46,3284.5,5.034285714
Tobacco,2002,Whole Year ,Andhra Pradesh,173612.0,451214.0,648.1,16435848.04,43403.0,3.58547619
