crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,2007,Kharif     ,Puducherry,61.0,78.0,1434.5875,8137.4,9.76,1.28
Bajra,2007,Kharif     ,Puducherry,64.0,133.0,1434.5875,8537.6,10.24,2.08
Banana,2007,Kharif     ,Puducherry,318.0,10457.0,1434.5875,42421.2,50.88,22.45
Black pepper,2007,Kharif     ,Puducherry,12.0,7.0,1434.5875,1600.8,1.92,0.58
Coconut ,2007,Whole Year ,Puducherry,2164.0,26615000.0,1434.5875,288677.6,346.24,10937.2025
Coriander,2007,Rabi       ,Puducherry,4.0,2.0,1434.5875,533.6,0.64,0.5
Cotton(lint),2007,Summer     ,Puducherry,66.0,38.0,1434.5875,8804.4,10.56,0.615
Dry chillies,2007,Kharif     ,Puducherry,1.0,1.0,1434.5875,133.4,0.16,1.0
Dry chillies,2007,Rabi       ,Puducherry,1.0,1.0,1434.5875,133.4,0.16,1.0
Dry chillies,2007,Summer     ,Puducherry,3.0,3.0,1434.5875,400.2,0.48,1.0
Groundnut,2007,Kharif     ,Puducherry,29.0,53.0,1434.5875,3868.6,4.64,1.83
Groundnut,2007,Rabi       ,Puducherry,622.0,1255.0,1434.5875,82974.8,99.52,1.51
Groundnut,2007,Summer     ,Puducherry,113.0,197.0,1434.5875,15074.2,18.08,1.45
Jowar,2007,Kharif     ,Puducherry,3.0,5.0,1434.5875,400.2,0.48,1.67
Moong(Green Gram),2007,Summer     ,Puducherry,2183.0,272.0,1434.5875,291212.2,349.28,0.406666667
Onion,2007,Rabi       ,Puducherry,3.0,25.0,1434.5875,400.2,0.48,8.33
Other  Rabi pulses,2007,Summer     ,Puducherry,36.0,33.0,1434.5875,4802.4,5.76,0.92
Ragi,2007,Kharif     ,Puducherry,23.0,48.0,1434.5875,3068.2,3.68,1.57
Ragi,2007,Rabi       ,Puducherry,3.0,6.0,1434.5875,400.2,0.48,2.0
Ragi,2007,Summer     ,Puducherry,45.0,113.0,1434.5875,6003.0,7.2,2.51
Rice,2007,Kharif     ,Puducherry,4379.0,12878.0,1434.5875,584158.6,700.64,2.986666667
Rice,2007,Rabi       ,Puducherry,11411.0,28051.0,1434.5875,1522227.4,1825.76,3.02
Rice,2007,Summer     ,Puducherry,4647.0,12395.0,1434.5875,619909.8,743.52,2.21
Sesamum,2007,Kharif     ,Puducherry,14.0,11.0,1434.5875,1867.6,2.24,0.79
Sesamum,2007,Rabi       ,Puducherry,21.0,17.0,1434.5875,2801.4,3.36,0.81
Sesamum,2007,Summer     ,Puducherry,97.0,110.0,1434.5875,12939.8,15.52,0.825
Small millets,2007,Kharif     ,Puducherry,2.0,1.0,1434.5875,266.8,0.32,0.5
Sugarcane,2007,Kharif     ,Puducherry,2323.0,228416.0,1434.5875,309888.2,371.68,86.75
