crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,1999,Whole Year ,Assam,73464.0,52924.0,2201.8,7796734.32,19835.28,0.746086957
Arhar/Tur,1999,Kharif     ,Assam,7266.0,5102.0,2201.8,771140.58,1961.82,0.707826087
Banana,1999,Whole Year ,Assam,41922.0,583383.0,2201.8,4449181.86,11318.94,13.74652174
Castor seed,1999,Kharif     ,Assam,1726.0,704.0,2201.8,183180.38,466.02,0.423333333
Coconut ,1999,Whole Year ,Assam,20238.0,150062000.0,2201.8,2147858.94,5464.26,5672.116522
Cotton(lint),1999,Kharif     ,Assam,1637.0,746.0,2201.8,173734.81,441.99,0.41173913
Dry chillies,1999,Whole Year ,Assam,14418.0,9516.0,2201.8,1530182.34,3892.86,0.636956522
Gram,1999,Rabi       ,Assam,2336.0,1196.0,2201.8,247919.68,630.72,0.470454545
Jute,1999,Kharif     ,Assam,73545.0,657537.0,2201.8,7805330.85,19857.15,9.13173913
Linseed,1999,Rabi       ,Assam,10248.0,5323.0,2201.8,1087620.24,2766.96,0.502727273
Maize,1999,Kharif     ,Assam,19708.0,14056.0,2201.8,2091610.04,5321.16,0.613913043
Mesta,1999,Kharif     ,Assam,5177.0,25515.0,2201.8,549435.01,1397.79,4.622380952
Niger seed,1999,Kharif     ,Assam,8904.0,4582.0,2201.8,944981.52,2404.08,0.548947368
Onion,1999,Whole Year ,Assam,7365.0,17167.0,2201.8,781647.45,1988.55,2.322173913
Other  Rabi pulses,1999,Rabi       ,Assam,106576.0,58390.0,2201.8,11310910.88,28775.52,0.532173913
Potato,1999,Whole Year ,Assam,76748.0,699744.0,2201.8,8145265.24,20721.96,8.062608696
Rapeseed &Mustard,1999,Rabi       ,Assam,286241.0,129425.0,2201.8,30378757.33,77285.07,0.479565217
Rice,1999,Autumn     ,Assam,557220.0,514156.0,2201.8,59137758.6,150449.4,1.094782609
Rice,1999,Summer     ,Assam,294654.0,653783.0,2201.8,31271629.02,79556.58,1.990434783
Rice,1999,Winter     ,Assam,1793994.0,2692709.0,2201.8,190396583.2,484378.38,1.501304348
Sesamum,1999,Kharif     ,Assam,15143.0,7866.0,2201.8,1607126.59,4088.61,0.485217391
Small millets,1999,Kharif     ,Assam,10681.0,5467.0,2201.8,1133574.53,2883.87,0.502727273
Sugarcane,1999,Whole Year ,Assam,29107.0,1154615.0,2201.8,3089125.91,7858.89,40.43478261
Sweet potato,1999,Whole Year ,Assam,8955.0,30979.0,2201.8,950394.15,2417.85,3.409130435
Tapioca,1999,Whole Year ,Assam,2836.0,13444.0,2201.8,300984.68,765.72,4.436521739
Tobacco,1999,Whole Year ,Assam,1373.0,695.0,2201.8,145716.49,370.71,0.573913043
Turmeric,1999,Whole Year ,Assam,10980.0,7586.0,2201.8,1165307.4,2964.6,0.667391304
Wheat,1999,Rabi       ,Assam,76310.0,97583.0,2201.8,8098780.3,20603.7,1.256818182
Arecanut,1999,Whole Year ,Goa,1550.0,1880.0,3879.3,164501.5,418.5,1.21
Banana,1999,Whole Year ,Goa,1950.0,14500.0,3879.3,206953.5,526.5,7.44
Black pepper,1999,Whole Year ,Goa,275.0,120.0,3879.3,29185.75,74.25,0.44
Cashewnut,1999,Whole Year ,Goa,53292.0,17274.0,3879.3,5655879.96,14388.84,0.32
Coconut ,1999,Whole Year ,Goa,24975.0,121580000.0,3879.3,2650596.75,6743.25,4868.07
Groundnut,1999,Kharif     ,Goa,350.0,513.0,3879.3,37145.5,94.5,1.47
Groundnut,1999,Rabi       ,Goa,1004.0,1767.0,3879.3,106554.52,271.08,1.76
Other  Rabi pulses,1999,Rabi       ,Goa,9227.0,8430.0,3879.3,979261.51,2491.29,0.91
Other Kharif pulses,1999,Kharif     ,Goa,1000.0,578.0,3879.3,106130.0,270.0,0.58
Ragi,1999,Kharif     ,Goa,1000.0,1070.0,3879.3,106130.0,270.0,1.07
Rice,1999,Kharif     ,Goa,40500.0,96281.0,3879.3,4298265.0,10935.0,2.38
Rice,1999,Rabi       ,Goa,16213.0,43642.0,3879.3,1720685.69,4377.51,2.69
Sugarcane,1999,Whole Year ,Goa,1335.0,68440.0,3879.3,141683.55,360.45,51.27
Arecanut,1999,Whole Year ,Kerala,81941.0,83337.0,2914.6,8696398.33,22124.07,0.831428571
Banana,1999,Whole Year ,Kerala,39046.0,398145.0,2914.6,4143951.98,10542.42,10.36285714
Black pepper,1999,Whole Year ,Kerala,198406.0,47543.0,2914.6,21056828.78,53569.62,0.193571429
Cardamom,1999,Whole Year ,Kerala,41491.0,6585.0,2914.6,4403439.83,11202.57,0.056666667
Cashewnut,1999,Whole Year ,Kerala,89403.0,65547.0,2914.6,9488340.39,24138.81,0.491428571
Coconut ,1999,Whole Year ,Kerala,925035.0,5680000000.0,2914.6,98173964.55,249759.45,5581.025714
Cotton(lint),1999,Kharif     ,Kerala,4772.0,7702.0,2914.6,506452.36,1288.44,1.61
Dry chillies,1999,Whole Year ,Kerala,312.0,310.0,2914.6,33112.56,84.24,0.975
Garlic,1999,Whole Year ,Kerala,849.0,14433.0,2914.6,90104.37,229.23,17.0
Ginger,1999,Whole Year ,Kerala,11264.0,41344.0,2914.6,1195448.32,3041.28,3.159285714
Groundnut,1999,Kharif     ,Kerala,6921.0,5144.0,2914.6,734525.73,1868.67,0.37
Jowar,1999,Kharif     ,Kerala,2529.0,1287.0,2914.6,268402.77,682.83,0.255
Ragi,1999,Kharif     ,Kerala,870.0,704.0,2914.6,92333.1,234.9,0.815
Rice,1999,Autumn     ,Kerala,121525.0,252876.0,2914.6,12897448.25,32811.75,2.081538462
Rice,1999,Summer     ,Kerala,58021.0,144551.0,2914.6,6157768.73,15665.67,2.292857143
Rice,1999,Winter     ,Kerala,170228.0,373259.0,2914.6,18066297.64,45961.56,2.097142857
Sesamum,1999,Kharif     ,Kerala,2612.0,718.0,2914.6,277211.56,705.24,0.374545455
Sugarcane,1999,Whole Year ,Kerala,5780.0,578820.0,2914.6,613431.4,1560.6,88.2225
Sweet potato,1999,Whole Year ,Kerala,989.0,10698.0,2914.6,104962.57,267.03,11.79636364
