crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arecanut,2018,Kharif     ,Andhra Pradesh,976.0,5317.0,1220.5,158307.2,341.6,4.153333333
Arhar/Tur,2018,Kharif     ,Andhra Pradesh,245675.0,44213.0,1220.5,39848485.0,85986.25,0.311538462
Arhar/Tur,2018,Rabi       ,Andhra Pradesh,4099.0,1352.0,1220.5,664857.8,1434.65,0.31
Bajra,2018,Kharif     ,Andhra Pradesh,20932.0,21212.0,1220.5,3395170.4,7326.2,1.300909091
Bajra,2018,Rabi       ,Andhra Pradesh,1182.0,1586.0,1220.5,191720.4,413.7,1.353333333
Banana,2018,Whole Year ,Andhra Pradesh,59098.0,6223680.0,1220.5,9585695.6,20684.3,126.3876923
Cashewnut,2018,Kharif     ,Andhra Pradesh,112612.0,99169.0,1220.5,18265666.4,39414.2,1.2075
Castor seed,2018,Kharif     ,Andhra Pradesh,34682.0,14535.0,1220.5,5625420.4,12138.7,0.374285714
Castor seed,2018,Rabi       ,Andhra Pradesh,1839.0,637.0,1220.5,298285.8,643.65,0.41
Coconut ,2018,Whole Year ,Andhra Pradesh,104530.0,1571100000.0,1220.5,16954766.0,36585.5,15636.63231
Coriander,2018,Rabi       ,Andhra Pradesh,1569.0,360.0,1220.5,254491.8,549.15,0.331428571
Cotton(lint),2018,Kharif     ,Andhra Pradesh,616870.0,1482941.0,1220.5,100056314.0,215904.5,2.386153846
Cotton(lint),2018,Rabi       ,Andhra Pradesh,3404.0,8162.0,1220.5,552128.8,1191.4,2.251666667
Cowpea(Lobia),2018,Kharif     ,Andhra Pradesh,13385.0,1381.0,1220.5,2171047.0,4684.75,0.176666667
Cowpea(Lobia),2018,Rabi       ,Andhra Pradesh,13621.0,6960.0,1220.5,2209326.2,4767.35,0.53
Dry chillies,2018,Kharif     ,Andhra Pradesh,143497.0,450822.0,1220.5,23275213.4,50223.95,2.991666667
Dry chillies,2018,Rabi       ,Andhra Pradesh,14931.0,50585.0,1220.5,2421808.2,5225.85,3.401538462
Ginger,2018,Kharif     ,Andhra Pradesh,296.0,536.0,1220.5,48011.2,103.6,3.134
Gram,2018,Kharif     ,Andhra Pradesh,31.0,5.0,1220.5,5028.2,10.85,0.5
Gram,2018,Rabi       ,Andhra Pradesh,477851.0,242641.0,1220.5,77507432.2,167247.85,1.027272727
Groundnut,2018,Kharif     ,Andhra Pradesh,687139.0,332910.0,1220.5,111453945.8,240498.65,1.965
Groundnut,2018,Rabi       ,Andhra Pradesh,60806.0,129017.0,1220.5,9862733.2,21282.1,2.72
Horse-gram,2018,Kharif     ,Andhra Pradesh,57122.0,10517.0,1220.5,9265188.4,19992.7,0.136
Horse-gram,2018,Rabi       ,Andhra Pradesh,61676.0,27729.0,1220.5,10003847.2,21586.6,0.555384615
Jowar,2018,Kharif     ,Andhra Pradesh,15114.0,1957.0,1220.5,2451490.8,5289.9,0.206363636
Jowar,2018,Rabi       ,Andhra Pradesh,140651.0,227506.0,1220.5,22813592.2,49227.85,1.477777778
Linseed,2018,Kharif     ,Andhra Pradesh,151.0,0.0,1220.5,24492.2,52.85,0.0
Maize,2018,Kharif     ,Andhra Pradesh,104370.0,431440.0,1220.5,16928814.0,36529.5,3.716923077
Maize,2018,Rabi       ,Andhra Pradesh,161853.0,1131719.0,1220.5,26252556.6,56648.55,5.788461538
Mesta,2018,Kharif     ,Andhra Pradesh,2934.0,29662.0,1220.5,475894.8,1026.9,9.88
Moong(Green Gram),2018,Kharif     ,Andhra Pradesh,17874.0,5247.0,1220.5,2899162.8,6255.9,0.608461538
Moong(Green Gram),2018,Rabi       ,Andhra Pradesh,103081.0,79502.0,1220.5,16719738.2,36078.35,0.678461538
Niger seed,2018,Kharif     ,Andhra Pradesh,23.0,7.0,1220.5,3730.6,8.05,0.3
Niger seed,2018,Rabi       ,Andhra Pradesh,5797.0,1843.0,1220.5,940273.4,2028.95,0.285
Oilseeds total,2018,Kharif     ,Andhra Pradesh,941981.0,2321558.0,1220.5,152789318.2,329693.35,4.400769231
Oilseeds total,2018,Rabi       ,Andhra Pradesh,114507.0,148801.0,1220.5,18573035.4,40077.45,1.439230769
Onion,2018,Kharif     ,Andhra Pradesh,24750.0,677050.0,1220.5,4014450.0,8662.5,247.5727273
Onion,2018,Rabi       ,Andhra Pradesh,5021.0,299805.0,1220.5,814406.2,1757.35,80.268
Other  Rabi pulses,2018,Rabi       ,Andhra Pradesh,11259.0,8745.0,1220.5,1826209.8,3940.65,2.346666667
Other Kharif pulses,2018,Kharif     ,Andhra Pradesh,2454.0,810.0,1220.5,398038.8,858.9,0.32
Potato,2018,Kharif     ,Andhra Pradesh,486.0,2992.0,1220.5,78829.2,170.1,7.44
Potato,2018,Rabi       ,Andhra Pradesh,970.0,6026.0,1220.5,157334.0,339.5,8.096666667
Ragi,2018,Kharif     ,Andhra Pradesh,23993.0,29467.0,1220.5,3891664.6,8397.55,1.305555556
Ragi,2018,Rabi       ,Andhra Pradesh,8149.0,13853.0,1220.5,1321767.8,2852.15,1.781111111
Rapeseed &Mustard,2018,Rabi       ,Andhra Pradesh,4485.0,1545.0,1220.5,727467.0,1569.75,0.25
Rice,2018,Kharif     ,Andhra Pradesh,1563887.0,5243250.0,1220.5,253662471.4,547360.45,3.263846154
