crop,crop_year,season,state,area,production,annual_rainfall,fertilizer,pesticide,yield
Arhar/Tur,2023,Kharif     ,Uttarakhand,3273.770005776433,2583.330476817997,1484.9153317452608,616366.6001980258,1361.0926969338534,0.7890995617467983
Barley,2023,Rabi       ,Uttarakhand,19566.55056456579,28595.285208227197,1223.6941814408085,4018218.9837448653,7368.845077014941,1.4614372172483008
Garlic,2023,Whole Year ,Uttarakhand,5113.7958526222255,34550.71916649968,1298.9254993991578,1068537.1011434868,2117.4976615230144,6.756374357177934
Gram,2023,Rabi       ,Uttarakhand,786.4847401631442,633.7804331139354,1382.9422975125603,132881.0664498988,269.85875196920983,0.8058394533916415
Groundnut,2023,Kharif     ,Uttarakhand,643.5712312474554,1025.1983068913999,1387.2595581003434,126127.55389988095,245.69829200758818,1.592983429206778
Horse-gram,2023,Kharif     ,Uttarakhand,11980.171407885797,11370.967934112448,1206.0997186997054,2624129.061140168,4822.993948400956,0.9491490185714415
Maize,2023,Kharif     ,Uttarakhand,18485.466640364513,37262.05445551824,1357.467089240585,4189999.3996469304,7383.65098228691,2.0157486516544587
Maize,2023,Summer     ,Uttarakhand,207.66614612080062,438.28924308103524,1387.2464110293363,41995.3485036665,80.157713438223,2.1105473918993027
Masoor,2023,Rabi       ,Uttarakhand,8801.466136514979,6573.901234111848,1270.9180116900193,1853261.7827756035,3417.480446216522,0.7469097911810911
Moong(Green Gram),2023,Kharif     ,Uttarakhand,8.69617619958567,8.12422110070338,1324.4220792595852,1590.4585498974488,3.164587292459292,0.9342291271755119
Moong(Green Gram),2023,Summer     ,Uttarakhand,8.083004837087916,6.157530164227031,1289.2217041167296,1548.4984535828414,3.2817425485330847,0.7617872670289554
Moth,2023,Kharif     ,Uttarakhand,41.72400540384259,21.518879751086477,1488.9806990318439,8214.879317644742,15.741141535236796,0.5157433842414536
Onion,2023,Whole Year ,Uttarakhand,3616.3009777807383,51573.17433072832,1173.9370178594259,675323.6359343288,1513.2523402574795,14.261305861321834
Other  Rabi pulses,2023,Rabi       ,Uttarakhand,31.575420109579937,24.407694536288858,1387.660488769769,6376.947643372826,11.65710015916307,0.7729966680279765
Other Cereals,2023,Kharif     ,Uttarakhand,611.117763574333,346.67688792410684,1432.4970992877154,117122.08810434926,254.2042296833194,0.5672832776066719
Other Cereals,2023,Rabi       ,Uttarakhand,415.2668537727531,349.25118992514405,1503.3426799384529,88076.58969663006,159.92243118671442,0.8410283333527628
Other Kharif pulses,2023,Kharif     ,Uttarakhand,14112.816150686318,14329.568470093767,1335.4321822051304,2999584.6024006237,5386.238668215677,1.0153585448214677
Peas & beans (Pulses),2023,Rabi       ,Uttarakhand,5170.699120085488,3467.263370393639,1511.43852739671,941208.2214432647,1821.1532620652185,0.6705598778558042
Potato,2023,Kharif     ,Uttarakhand,6253.797339642049,58330.617884963554,1223.4309486650866,1229638.3559538769,2239.4667452250897,9.327231874818356
Potato,2023,Rabi       ,Uttarakhand,5579.748163580311,67043.55543077807,1415.2967333243143,1089872.8082672006,2004.7485736838764,12.015516375520216
Ragi,2023,Kharif     ,Uttarakhand,82639.46105366788,148510.72838794126,1428.6302827894317,16621168.378141169,33222.98981163739,1.797092169944031
Rapeseed &Mustard,2023,Rabi       ,Uttarakhand,13526.309300106625,9754.319847083312,1422.6992137124766,2781889.2334920084,4920.596978860319,0.7211368327209863
Rice,2023,Kharif     ,Uttarakhand,227109.3313080118,483019.24778464553,1348.7160343631485,47070611.524689816,87659.95455549909,2.126813746501511
Rice,2023,Summer     ,Uttarakhand,14654.48886037654,49651.051117915384,1371.4239569487393,3006925.874485545,5939.555606576105,3.3881121061932165
Sesamum,2023,Kharif     ,Uttarakhand,2076.0468001302684,492.0483856109734,1329.465216823467,424214.51807223365,760.7183703495973,0.23701218372345856
Small millets,2023,Kharif     ,Uttarakhand,43957.264357374544,64680.99419486362,1345.885754196593,8674565.755325047,18492.756784449855,1.4714517643546745
Soyabean,2023,Kharif     ,Uttarakhand,7322.762101566337,9305.98072416163,1225.5697639797086,1391361.9277334511,2582.648352471753,1.2708293120940095
Sugarcane,2023,Whole Year ,Uttarakhand,87436.75196010993,7323806.507383835,1281.110492463252,19461375.274224613,33143.87150666769,83.76119129774027
Sunflower,2023,Kharif     ,Uttarakhand,3.116290585919961,2.5803215244789666,1228.317192052577,681.3066933084951,1.1506451181130122,0.8280105636288821
Sunflower,2023,Summer     ,Uttarakhand,2.955188157876023,1.965212196644866,1380.2613390037116,621.7789445254836,1.0987180547759536,0.6650040849031147
Tobacco,2023,Whole Year ,Uttarakhand,2.7057822578785986,5.499777274214733,1297.043002992788,558.8593152990693,1.1425000495872686,2.0326015732421485
Turmeric,2023,Whole Year ,Uttarakhand,1332.3715231484216,3617.107276400459,1363.0895727620614,269538.56394513213,469.5328460926293,2.7147887909320962
Urad,2023,Kharif     ,Uttarakhand,12376.978706219368,12300.592731874513,1463.1229306870368,2478871.062671383,4564.365290570522,0.9938283828260549
Urad,2023,Summer     ,Uttarakhand,54.8452809283035,69.86040821450887,1397.309432119294,11337.862213146922,22.41490743788253,1.2737724564823343
Wheat,2023,Rabi       ,Uttarakhand,289849.4648899578,641920.8143023928,1399.5488439626595,53332938.375051185,125284.0583884711,2.2146696546295157
other oilseeds,2023,Kharif     ,Uttarakhand,12.756169386944382,8.671348529589327,1317.1791316883855,2722.3634120291185,5.041900630575707,0.6797768410369521
other oilseeds,2023,Rabi       ,Uttarakhand,28.434254297959903,18.897244041737313,1566.324119978365,5641.759094383867,11.74747244952682,0.664594324989671
