ID,Order Date,Product Name,Sales,Quantity,Year,Date_Ordinal
1001,2020-12-30 00:00:00,Furnishings - Saepe,652.17,6,2020,737789.0
1002,2020-12-29 00:00:00,Chairs - Recusandae,284.5,3,2020,737788.0
1003,2020-12-29 00:00:00,Chairs - Nam,22.35,7,2020,737788.0
1004,2020-12-29 00:00:00,Envelopes - Necessitatibus,243.82,9,2020,737788.0
1005,2020-12-28 00:00:00,Art - Sunt,145.04,4,2020,737787.0
1006,2020-12-28 00:00:00,Machines - Vero,11.08,10,2020,737787.0
1007,2020-12-28 00:00:00,Art - Aspernatur,967.91,6,2020,737787.0
1008,2020-12-28 00:00:00,Chairs - Placeat,921.95,5,2020,737787.0
1009,2020-12-27 00:00:00,Chairs - Maxime,654.1,2,2020,737786.0
1010,2020-12-26 00:00:00,Chairs - Hic,798.65,8,2020,737785.0
1011,2020-12-25 00:00:00,Phones - Dolorum,956.02,7,2020,737784.0
1012,2020-12-24 00:00:00,Chairs - Doloremque,427.21,3,2020,737783.0
1013,2020-12-24 00:00:00,Copiers - Aliquam,275.8,10,2020,737783.0
1014,2020-12-24 00:00:00,Tables - Suscipit,593.21,1,2020,737783.0
1015,2020-12-24 00:00:00,Phones - Provident,860.95,4,2020,737783.0
1016,2020-12-24 00:00:00,Copiers - Officiis,410.88,1,2020,737783.0
1017,2020-12-24 00:00:00,Machines - Asperiores,308.97,8,2020,737783.0
1018,2020-12-24 00:00:00,Phones - Consequatur,732.11,10,2020,737783.0
1019,2020-12-24 00:00:00,Machines - Fugiat,151.96,2,2020,737783.0
1020,2020-12-24 00:00:00,Bookcases - Animi,245.27,5,2020,737783.0
1021,2020-12-22 00:00:00,Envelopes - Aspernatur,285.0,7,2020,737781.0
1022,2020-12-21 00:00:00,Accessories - Est,372.8,6,2020,737780.0
1023,2020-12-21 00:00:00,Chairs - Dolorem,814.2,2,2020,737780.0
1024,2020-12-21 00:00:00,Tables - Sequi,143.27,2,2020,737780.0
1025,2020-12-21 00:00:00,Envelopes - Porro,99.16,10,2020,737780.0
1026,2020-12-21 00:00:00,Art - Facere,236.88,6,2020,737780.0
1027,2020-12-21 00:00:00,Binders - Aliquid,553.74,1,2020,737780.0
1028,2020-12-20 00:00:00,Tables - Tenetur,304.38,6,2020,737779.0
1029,2020-12-20 00:00:00,Phones - Corrupti,383.02,6,2020,737779.0
1030,2020-12-20 00:00:00,Binders - Labore,637.53,7,2020,737779.0
1031,2020-12-20 00:00:00,Bookcases - Corporis,920.83,7,2020,737779.0
1032,2020-12-20 00:00:00,Copiers - Eligendi,395.34,10,2020,737779.0
1033,2020-12-18 00:00:00,Machines - Iste,960.74,9,2020,737777.0
1034,2020-12-18 00:00:00,Tables - Laboriosam,552.87,4,2020,737777.0
1035,2020-12-17 00:00:00,Paper - Molestiae,600.18,8,2020,737776.0
1036,2020-12-17 00:00:00,Binders - Modi,429.37,6,2020,737776.0
1037,2020-12-17 00:00:00,Envelopes - Odit,815.49,3,2020,737776.0
1038,2020-12-16 00:00:00,Envelopes - Dolor,831.22,4,2020,737775.0
1039,2020-12-16 00:00:00,Copiers - Facilis,157.91,8,2020,737775.0
1040,2020-12-14 00:00:00,Furnishings - Ullam,181.15,3,2020,737773.0
1041,2020-12-14 00:00:00,Phones - Tenetur,948.73,3,2020,737773.0
1042,2020-12-14 00:00:00,Furnishings - Sed,141.87,6,2020,737773.0
1043,2020-12-14 00:00:00,Bookcases - Nisi,841.35,3,2020,737773.0
1044,2020-12-14 00:00:00,Machines - Deserunt,653.12,4,2020,737773.0
1045,2020-12-14 00:00:00,Furnishings - Perspiciatis,14.43,7,2020,737773.0
1046,2020-12-13 00:00:00,Phones - Ipsum,76.71,2,2020,737772.0
1047,2020-12-13 00:00:00,Envelopes - Iste,63.68,3,2020,737772.0
1048,2020-12-13 00:00:00,Tables - Unde,88.24,5,2020,737772.0
1049,2020-12-13 00:00:00,Binders - Dolorum,29.24,3,2020,737772.0
1050,2020-12-12 00:00:00,Chairs - Adipisci,14.98,10,2020,737771.0
1051,2020-12-12 00:00:00,Bookcases - Sunt,518.11,1,2020,737771.0
1052,2020-12-12 00:00:00,Tables - Qui,218.23,7,2020,737771.0
1053,2020-12-11 00:00:00,Phones - Possimus,161.46,2,2020,737770.0
1054,2020-12-11 00:00:00,Bookcases - Nisi,798.16,8,2020,737770.0
1055,2020-12-10 00:00:00,Binders - Quis,672.95,7,2020,737769.0
1056,2020-12-09 00:00:00,Envelopes - Et,836.48,8,2020,737768.0
1057,2020-12-08 00:00:00,Binders - Iusto,633.43,3,2020,737767.0
1058,2020-12-08 00:00:00,Bookcases - Similique,517.61,5,2020,737767.0
1059,2020-12-08 00:00:00,Binders - Explicabo,624.18,7,2020,737767.0
1060,2020-12-07 00:00:00,Art - Maiores,998.83,4,2020,737766.0
1061,2020-12-07 00:00:00,Chairs - Tempora,382.61,10,2020,737766.0
1062,2020-12-07 00:00:00,Binders - Cum,152.04,10,2020,737766.0
1063,2020-12-07 00:00:00,Machines - Odio,437.76,3,2020,737766.0
1064,2020-12-07 00:00:00,Bookcases - Soluta,386.0,10,2020,737766.0
1065,2020-12-06 00:00:00,Accessories - Iste,807.39,3,2020,737765.0
1066,2020-12-06 00:00:00,Copiers - Amet,504.39,8,2020,737765.0
1067,2020-12-06 00:00:00,Art - Illo,837.49,3,2020,737765.0
1068,2020-12-06 00:00:00,Tables - Delectus,298.81,1,2020,737765.0
1069,2020-12-06 00:00:00,Tables - Perferendis,999.65,2,2020,737765.0
1070,2020-12-05 00:00:00,Art - Dignissimos,791.04,1,2020,737764.0
1071,2020-12-05 00:00:00,Copiers - Id,464.52,1,2020,737764.0
1072,2020-12-05 00:00:00,Chairs - Voluptates,991.88,4,2020,737764.0
1073,2020-12-04 00:00:00,Envelopes - Delectus,660.24,5,2020,737763.0
1074,2020-12-04 00:00:00,Envelopes - Inventore,401.26,3,2020,737763.0
1075,2020-12-04 00:00:00,Accessories - Sapiente,776.01,7,2020,737763.0
1076,2020-12-03 00:00:00,Binders - Quos,395.57,5,2020,737762.0
1077,2020-12-03 00:00:00,Copiers - Esse,731.9,10,2020,737762.0
1078,2020-12-03 00:00:00,Copiers - Rem,335.96,5,2020,737762.0
1079,2020-12-02 00:00:00,Phones - Consectetur,826.98,1,2020,737761.0
1080,2020-12-02 00:00:00,Machines - Nostrum,495.19,5,2020,737761.0
1081,2020-12-02 00:00:00,Accessories - Suscipit,66.61,6,2020,737761.0
1082,2020-12-02 00:00:00,Machines - Doloribus,12.0,2,2020,737761.0
1083,2020-12-02 00:00:00,Binders - Possimus,136.33,6,2020,737761.0
1084,2020-12-02 00:00:00,Bookcases - Earum,967.33,4,2020,737761.0
1085,2020-12-02 00:00:00,Furnishings - Iste,166.73,3,2020,737761.0
1086,2020-12-02 00:00:00,Art - Itaque,698.43,10,2020,737761.0
1087,2020-12-01 00:00:00,Bookcases - Porro,362.98,9,2020,737760.0
1088,2020-12-01 00:00:00,Paper - Quidem,743.6,10,2020,737760.0
1089,2020-11-29 00:00:00,Binders - Hic,70.49,3,2020,737758.0
1090,2020-11-29 00:00:00,Binders - Similique,481.05,6,2020,737758.0
1091,2020-11-28 00:00:00,Copiers - Veniam,535.41,9,2020,737757.0
1092,2020-11-28 00:00:00,Copiers - Iure,925.64,2,2020,737757.0
1093,2020-11-28 00:00:00,Chairs - Totam,601.27,5,2020,737757.0
1094,2020-11-27 00:00:00,Accessories - Expedita,961.91,9,2020,737756.0
1095,2020-11-27 00:00:00,Phones - Fuga,106.98,7,2020,737756.0
1096,2020-11-26 00:00:00,Machines - Molestiae,323.51,2,2020,737755.0
1097,2020-11-26 00:00:00,Tables - Qui,799.06,1,2020,737755.0
1098,2020-11-26 00:00:00,Chairs - In,571.48,2,2020,737755.0
1099,2020-11-26 00:00:00,Furnishings - Exercitationem,24.62,2,2020,737755.0
1100,2020-11-26 00:00:00,Bookcases - Adipisci,650.28,3,2020,737755.0
1101,2020-11-25 00:00:00,Envelopes - Aut,200.09,3,2020,737754.0
1102,2020-11-25 00:00:00,Paper - Enim,430.23,10,2020,737754.0
1103,2020-11-24 00:00:00,Art - Corrupti,167.68,9,2020,737753.0
1104,2020-11-24 00:00:00,Envelopes - Dolore,834.9,4,2020,737753.0
1105,2020-11-24 00:00:00,Art - Dignissimos,461.92,9,2020,737753.0
1106,2020-11-24 00:00:00,Envelopes - Qui,613.04,3,2020,737753.0
1107,2020-11-22 00:00:00,Phones - Ipsum,815.91,6,2020,737751.0
1108,2020-11-22 00:00:00,Binders - Est,307.2,1,2020,737751.0
1109,2020-11-22 00:00:00,Machines - Doloribus,907.97,5,2020,737751.0
1110,2020-11-21 00:00:00,Furnishings - Commodi,483.49,4,2020,737750.0
1111,2020-11-21 00:00:00,Bookcases - Similique,911.06,10,2020,737750.0
1112,2020-11-21 00:00:00,Machines - Doloribus,500.86,3,2020,737750.0
1113,2020-11-20 00:00:00,Bookcases - Ut,139.38,2,2020,737749.0
1114,2020-11-19 00:00:00,Copiers - Eos,411.57,2,2020,737748.0
1115,2020-11-19 00:00:00,Phones - Illum,261.71,2,2020,737748.0
1116,2020-11-18 00:00:00,Bookcases - Eveniet,773.41,5,2020,737747.0
1117,2020-11-18 00:00:00,Accessories - Nam,518.55,4,2020,737747.0
1118,2020-11-17 00:00:00,Phones - Facere,494.07,10,2020,737746.0
1119,2020-11-17 00:00:00,Furnishings - Voluptate,20.63,8,2020,737746.0
1120,2020-11-17 00:00:00,Envelopes - Minima,90.4,7,2020,737746.0
1121,2020-11-17 00:00:00,Paper - Commodi,900.31,6,2020,737746.0
1122,2020-11-15 00:00:00,Art - In,212.2,2,2020,737744.0
1123,2020-11-15 00:00:00,Tables - Temporibus,278.51,8,2020,737744.0
1124,2020-11-15 00:00:00,Chairs - Quis,795.11,6,2020,737744.0
1125,2020-11-14 00:00:00,Envelopes - Voluptate,388.18,6,2020,737743.0
1126,2020-11-13 00:00:00,Phones - Commodi,252.29,1,2020,737742.0
1127,2020-11-13 00:00:00,Copiers - Necessitatibus,736.59,2,2020,737742.0
1128,2020-11-13 00:00:00,Machines - Ab,288.47,2,2020,737742.0
1129,2020-11-13 00:00:00,Chairs - Impedit,579.13,7,2020,737742.0
1130,2020-11-12 00:00:00,Bookcases - Repudiandae,88.23,4,2020,737741.0
1131,2020-11-11 00:00:00,Paper - Cum,796.63,10,2020,737740.0
1132,2020-11-11 00:00:00,Paper - Nesciunt,717.49,4,2020,737740.0
1133,2020-11-11 00:00:00,Copiers - Nesciunt,815.73,1,2020,737740.0
1134,2020-11-11 00:00:00,Binders - Ipsa,59.79,8,2020,737740.0
1135,2020-11-11 00:00:00,Bookcases - Facere,64.81,10,2020,737740.0
1136,2020-11-10 00:00:00,Phones - Facere,53.17,10,2020,737739.0
1137,2020-11-10 00:00:00,Envelopes - Id,534.86,8,2020,737739.0
1138,2020-11-10 00:00:00,Accessories - Voluptates,833.5,10,2020,737739.0
1139,2020-11-09 00:00:00,Binders - Asperiores,888.72,8,2020,737738.0
1140,2020-11-09 00:00:00,Envelopes - Laudantium,554.05,1,2020,737738.0
1141,2020-11-09 00:00:00,Machines - Ut,611.97,9,2020,737738.0
1142,2020-11-09 00:00:00,Machines - Deserunt,995.97,8,2020,737738.0
1143,2020-11-08 00:00:00,Binders - Sunt,454.91,1,2020,737737.0
1144,2020-11-08 00:00:00,Binders - Aperiam,424.51,8,2020,737737.0
1145,2020-11-08 00:00:00,Chairs - Quod,414.66,7,2020,737737.0
1146,2020-11-07 00:00:00,Tables - Dolore,289.63,2,2020,737736.0
1147,2020-11-07 00:00:00,Phones - Aliquid,47.13,8,2020,737736.0
1148,2020-11-07 00:00:00,Copiers - Adipisci,875.42,6,2020,737736.0
1149,2020-11-07 00:00:00,Phones - Optio,721.84,1,2020,737736.0
1150,2020-11-07 00:00:00,Paper - Asperiores,597.64,5,2020,737736.0
1151,2020-11-07 00:00:00,Accessories - Hic,801.96,1,2020,737736.0
1152,2020-11-06 00:00:00,Envelopes - Voluptatibus,482.09,3,2020,737735.0
