location_id,crop_id,year,area,production,fertilizer_qty,pesticide_qty,annual_rainfall,yield
3,3,1997,73814.0,56708.0,7024878.38,22882.34,2051.4,0.7682553445145908
3,5,1997,6637.0,4685.0,631643.29,2057.47,2051.4,0.7058912159108031
3,31,1997,796.0,22.0,75755.32,246.76,2051.4,0.02763819095477387
3,35,1997,19656.0,126905000.0,1870661.52,6093.36,2051.4,6456.2983312983315
3,40,1997,1739.0,794.0,165500.63,539.09,2051.4,0.4565842438182864
3,53,1997,13587.0,9073.0,1293074.79,4211.97,2051.4,0.667770663133878
3,65,1997,2979.0,1507.0,283511.43,923.49,2051.4,0.5058744545149378
3,87,1997,94520.0,904095.0,8995468.4,29301.2,2051.4,9.565118493440542
3,94,1997,10098.0,5158.0,961026.66,3130.38,2051.4,0.5107942166765697
3,97,1997,19216.0,14721.0,1828786.72,5956.96,2051.4,0.7660803497085762
3,105,1997,5915.0,29003.0,562930.55,1833.65,2051.4,4.903296703296704
3,119,1997,9914.0,5076.0,943515.38,3073.34,2051.4,0.5120032277587251
3,128,1997,7832.0,17943.0,745371.44,2427.92,2051.4,2.290985699693565
3,130,1997,108297.0,58272.0,10306625.49,33572.07,2051.4,0.5380758469763706
3,152,1997,75259.0,671871.0,7162399.03,23330.29,2051.4,8.927450537477245
3,161,1997,279292.0,154772.0,26580219.64,86580.52,2051.4,0.5541583718831904
3,164,1997,607358.0,398311.0,57802260.86,188280.98,2051.4,0.6558092591190039
3,167,1997,174974.0,209623.0,16652275.58,54241.94,2051.4,1.1980237063792334
3,169,1997,1743321.0,1647296.0,165911859.6,540429.51,2051.4,0.9449183483707246
3,181,1997,15765.0,8257.0,1500355.05,4887.15,2051.4,0.5237551538217571
3,184,1997,10490.0,5391.0,998333.3,3251.9,2051.4,0.5139180171591993
3,194,1997,31318.0,1287451.0,2980534.06,9708.58,2051.4,41.1089788619963
3,206,1997,9380.0,32618.0,892694.6,2907.8,2051.4,3.4773987206823027
3,211,1997,2465.0,11728.0,234594.05,764.15,2051.4,4.757809330628803
3,215,1997,433.0,26.0,41208.61,134.23,2051.4,0.06004618937644342
3,220,1997,10071.0,6974.0,958457.07,3122.01,2051.4,0.6924833680865853
3,229,1997,84698.0,110054.0,8060708.66,26256.38,2051.4,1.2993695246641006
13,3,1997,93100.0,133342.0,8860327.0,28861.0,1266.7,1.4322448979591837
13,5,1997,421810.0,98473.0,40143657.7,130761.1,1266.7,0.23345345060572295
13,10,1997,301149.0,132056.0,28660350.33,93356.19,1266.7,0.4385071841513669
13,12,1997,820.0,662.0,78039.4,254.2,1266.7,0.8073170731707318
13,23,1997,3825.0,924.0,364025.25,1185.75,1266.7,0.2415686274509804
13,27,1997,21230.0,1214.0,2020459.1,6581.3,1266.7,0.05718323127649552
13,38,1997,17317.0,2853.0,1648058.89,5368.27,1266.7,0.16475140035802968
13,50,1997,186579.0,139206.0,17756723.43,57839.49,1266.7,0.7460968276172559
13,51,1997,4565.0,7895.0,434451.05,1415.15,1266.7,1.7294633077765609
13,57,1997,5061.0,3799.0,481655.37,1568.91,1266.7,0.7506421655799249
13,59,1997,3619.0,4745.0,344420.23,1121.89,1266.7,1.3111356728378005
13,68,1997,847666.0,525562.0,80672373.22,262776.46,1266.7,0.6200107117661909
13,69,1997,192416.0,181071.0,18312230.72,59648.96,1266.7,0.941039206718776
13,76,1997,178872.0,80124.0,17023248.24,55450.32,1266.7,0.4479404266738226
